StoreNum,Open Date,State Provinc,Market,Region,Locality Code,Climate Code,Pharmacy_IND,Pickup_IND,SFS_IND,COMP_IND,College_STORE_IND,INCOME_CD,ETHNICITY_CD
195,2014/10/01,46,95,407,NULL,NULL,N,N,N,-,N,NULL,NULL
196,2006/08/18,46,95,499,2,NULL,N,N,N,N,N,3,2
197,2000/12/26,46,95,0,NULL,NULL,N,N,N,N,N,NULL,NULL
198,2005/12/04,46,95,0,2,3,N,N,N,N,N,3,2
199,2011/06/03,46,95,NULL,2,3,N,N,N,-,N,2,3
200,1980/02/01,64,95,0,2,2,N,N,N,Y,N,3,1
201,1980/02/01,64,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
202,1980/02/01,64,95,0,2,2,N,N,N,Y,N,3,1
203,1980/02/01,46,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
204,1980/02/01,64,95,NULL,NULL,NULL,N,N,N,-,N,NULL,NULL
205,1980/02/01,41,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
206,2011/02/14,64,95,499,2,NULL,N,N,N,-,N,3,2
207,1980/02/01,64,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
208,1999/09/29,64,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
209,2011/10/16,31,103,411,1,3,N,N,N,-,N,1,3
210,2005/05/02,46,99,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
211,2014/03/05,46,99,499,NULL,NULL,N,N,N,NULL,N,NULL,NULL
212,2013/07/31,46,95,412,NULL,NULL,N,N,N,-,N,NULL,NULL
213,1980/02/01,6,95,0,NULL,NULL,N,N,N,-,N,NULL,NULL
214,1980/02/01,21,95,0,NULL,NULL,N,N,N,N,N,NULL,NULL
215,1992/09/28,64,95,0,2,2,N,N,N,N,N,3,2
216,2011/10/16,47,103,411,1,3,N,N,N,-,N,1,3
217,1998/05/06,6,95,403,NULL,NULL,N,N,N,-,N,NULL,NULL
218,1998/11/21,64,104,407,NULL,NULL,N,N,N,-,N,NULL,NULL
219,2013/02/03,46,95,412,NULL,NULL,N,N,N,-,N,NULL,NULL
220,2013/02/03,6,95,403,NULL,NULL,N,N,N,-,N,NULL,NULL
221,2002/06/20,46,105,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
222,2002/06/20,46,105,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
223,2002/06/20,46,105,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
224,2002/06/20,46,105,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
225,2002/06/20,46,99,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
226,2002/06/20,46,105,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
227,2002/06/20,46,105,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
228,2002/06/20,46,105,NULL,NULL,NULL,N,N,N,NULL,N,NULL,NULL
229,2013/09/23,46,95,412,NULL,NULL,N,N,N,-,N,NULL,NULL
230,2014/01/31,46,95,412,NULL,NULL,N,N,N,Y,N,NULL,NULL
231,2008/04/15,46,95,NULL,1,2,N,N,N,N,N,1,3
232,2013/11/05,46,106,0,NULL,NULL,N,N,N,NULL,N,NULL,NULL
233,2013/11/05,46,106,0,NULL,NULL,N,N,N,NULL,N,NULL,NULL
234,2013/01/01,46,103,0,NULL,NULL,N,N,N,-,N,NULL,NULL
235,2016/05/26,46,98,499,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
236,2016/08/16,1,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
237,2016/08/16,6,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
238,2016/08/16,6,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
239,2016/08/16,1,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
240,2016/08/16,1,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
241,2016/08/16,1,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
242,2016/08/16,30,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
243,2016/08/16,1,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
244,2016/08/16,1,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
245,2016/08/16,6,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
246,2016/08/16,1,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
247,2016/08/16,52,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
248,2016/08/16,52,97,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
249,2016/06/30,1,99,499,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
250,2016/06/30,1,99,499,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
251,2016/06/30,46,99,499,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
252,2017/03/01,64,99,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
253,2016/06/30,6,99,499,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
254,2017/05/01,21,99,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
255,2017/03/01,64,99,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
256,2017/03/01,46,99,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
257,2017/03/01,46,99,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
258,2017/04/01,1,99,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
259,2017/08/03,6,99,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
260,2017/08/03,64,99,NULL,NULL,NULL,NULL,N,N,NULL,NULL,NULL,NULL
261,2016/08/17,46,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
262,2016/09/21,1,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
263,2016/10/12,25,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
264,2017/03/09,46,98,NULL,NULL,NULL,NULL,N,N,-,NULL,NULL,NULL
