Week,StoreNum,Category,Sales,Units , profit,week no,Year
201732,57,8,259165.57,7784,110105.3763,32,2017
201732,57,50,1065,75,341.85,32,2017
201732,57,36,96074.26,822,37753.5808,32,2017
201732,57,3,291820.84,8333,103816.4732,32,2017
201732,57,4,1780174.2,34012,579043.4338,32,2017
201733,57,35,883.6,42,114.868,33,2017
201733,57,5,537321.22,21615,173819.0862,33,2017
201733,57,3,705580.62,24499,234813.3562,33,2017
201733,57,4,2436665.71,37807,863253.4453,33,2017
201733,57,2,1074244.25,19701,396525.5251,33,2017
201733,57,1,2376867.62,37420,870550.2795,33,2017
201733,57,8,278427.59,6603,135075.9139,33,2017
201733,57,36,74668.2,676,32484.0841,33,2017
201733,57,7,2226589.43,34504,777190.7114,33,2017
201734,57,4,1735625.9,26876,741995.5633,34,2017
201734,57,5,218987.57,6945,83669.9417,34,2017
201734,57,2,895489.04,16139,337116.5901,34,2017
201734,57,1,1693516.06,24752,670209.9562,34,2017
201734,57,50,495,35,158.15,34,2017
201734,57,8,227602.81,4251,112245.9037,34,2017
201734,57,36,48356.87,397,19750.4716,34,2017
201734,57,7,1685267.93,25405,625617.0131,34,2017
201734,57,3,327144.48,10372,116909.7246,34,2017
201734,57,35,612.9,29,79.677,34,2017
201735,57,4,1691444.84,26828,719213.9338,35,2017
201735,57,2,1030348.23,18005,392774.4952,35,2017
201735,57,50,-3.75,0,-3.75,35,2017
201735,57,3,255936.32,10804,98226.8647,35,2017
201735,57,36,56958.68,439,21338.4312,35,2017
201735,57,8,254999.46,5321,125042.6116,35,2017
201735,57,7,1281359.69,21208,517923.4067,35,2017
201735,57,35,370.35,23,48.1455,35,2017
201735,57,5,233675.5,7430,89462.8334,35,2017
201735,57,1,2272175.36,35930,885873.4498,35,2017
201736,57,2,879395.7,16013,332229.9982,36,2017
201736,57,4,1607546.84,24524,758000.8713,36,2017
201736,57,1,1970803.04,29102,853070.3037,36,2017
201736,57,5,198760.91,5866,83476.7769,36,2017
201736,57,36,50260.26,383,18266.9645,36,2017
201736,57,50,0.26,84,-290.32,36,2017
201736,57,7,1396640.99,23797,521467.7568,36,2017
201736,57,8,248218.48,5957,135961.9541,36,2017
201736,57,35,324.5,12,42.185,36,2017
201736,57,3,277784.08,14620,108422.6199,36,2017
201737,57,2,933366.36,17638,403407.824,37,2017
201737,57,36,53465.49,442,17455.4505,37,2017
201737,57,8,622386.25,12978,295352.766,37,2017
201737,57,1,2520718.54,43227,1042326.701,37,2017
201737,57,7,2108727.86,27520,740945.7456,37,2017
201737,57,50,0.4,856,-2792.8,37,2017
201737,57,3,397877.34,20456,148019.4438,37,2017
201737,57,35,633.3,25,82.329,37,2017
201737,57,5,351824.79,12272,131467.7126,37,2017
201737,57,4,2391452.9,37781,1076521.072,37,2017
201738,57,1,3483571.83,53697,1534631.738,38,2017
201738,57,36,65093.12,451,19579.8303,38,2017
201738,57,50,0.29,23,-95.66,38,2017
201738,57,8,474685.8,12570,213448.7378,38,2017
201738,57,5,487550,17098,191721.6978,38,2017
201738,57,4,4129472.09,64829,1827599.771,38,2017
201738,57,35,1078.25,41,140.1725,38,2017
201738,57,3,370360.63,16298,141636.6186,38,2017
201738,57,7,2490560.09,37667,926774.0925,38,2017
201738,57,2,2062542.75,37301,850451.7838,38,2017
201739,57,3,390258.84,18406,145483.0444,39,2017
201739,57,5,494162.76,15900,197548.8787,39,2017
201739,57,35,934.23,46,121.4499,39,2017
201739,57,4,3307558.49,49575,1473963.524,39,2017
201739,57,7,2765196.41,38657,1030629.059,39,2017
201739,57,8,474903.15,15154,153729.7187,39,2017
201739,57,36,76418.04,525,32030.6208,39,2017
201739,57,1,3057322.45,42884,1331736.271,39,2017
201739,57,50,0.01,1,-2.02,39,2017
201739,57,2,1934357.89,31580,832859.8866,39,2017
201740,57,7,2995702.36,49033,1098131.125,40,2017
201740,57,8,442980.77,12012,197652.9689,40,2017
201740,57,50,0.11,1,-6.06,40,2017
201740,57,36,97416.05,768,49188.0249,40,2017
201740,57,35,843.73,39,109.6849,40,2017
201740,57,4,3112503.9,48696,1358022.855,40,2017
201740,57,3,359691.44,17136,134814.9577,40,2017
201740,57,2,1994393.02,34977,813563.1259,40,2017
201740,57,1,3234376.47,52071,1263342.939,40,2017
201740,57,5,517501.88,18445,202823.2131,40,2017
201741,57,2,1691928.7,29049,687410.6823,41,2017
201741,57,50,0,296,-1639.84,41,2017
201741,57,4,4102628.23,70137,1630490.302,41,2017
201741,57,3,483405.94,21375,173705.0953,41,2017
201741,57,36,111655.51,931,59053.3258,41,2017
201741,57,35,1012.59,43,131.6367,41,2017
201741,57,8,366549.51,10516,177879.9187,41,2017
201741,57,5,584105.16,20841,184975.6707,41,2017
201741,57,1,3702130.15,53191,1412918.102,41,2017
201742,57,5,493267.11,18671,176190.7747,42,2017
201742,57,4,3155086.22,54793,1304552.469,42,2017
201742,57,7,4130835.05,56373,1364974.107,42,2017
201742,57,35,1053.18,46,136.9134,42,2017
201742,57,3,662754.49,27771,218042.9764,42,2017
201742,57,50,0.08,376,-2082.96,42,2017
201742,57,36,129520.68,1039,66031.8173,42,2017
201742,57,8,485602.36,12499,255233.9882,42,2017
201743,57,4,3400923.62,52521,1460695.643,43,2017
201743,57,5,638326.98,20296,224462.8952,43,2017
201743,57,1,3986042.09,50789,1659936.844,43,2017
201743,57,50,0.04,725,-4714.46,43,2017
201743,57,36,119857.17,790,52550.2032,43,2017
201743,57,8,594570.82,15700,339176.5205,43,2017
201743,57,35,1227.4,60,159.562,43,2017
201743,57,3,660805.67,24020,220694.1051,43,2017
201744,57,35,2276,118,295.88,44,2017
201744,57,50,0.06,178,-1159.06,44,2017
201745,57,8,603079.48,17802,329599.932,45,2017
201745,57,1,2830605.83,45082,1090663.836,45,2017
201745,57,36,139751.51,1285,79881.5893,45,2017
201745,57,4,4506851.18,58138,1749907.497,45,2017
201745,57,5,644341.24,25144,206685.6513,45,2017
201745,57,35,3243.1,149,421.603,45,2017
201745,57,50,0.29,19,-173.85,45,2017
201745,57,2,2612161.96,54886,1009676.701,45,2017
201746,57,8,500221.62,17582,259675.2669,46,2017
201746,57,50,0.33,5,-32.37,46,2017
201746,57,1,2166101.15,32861,800925.3706,46,2017
201746,57,36,97821.68,810,53363.3421,46,2017
201746,57,7,3144366.32,51314,1110297.11,46,2017
201746,57,5,583461.94,23497,192530.2812,46,2017
201746,57,3,568027.12,20746,209205.6038,46,2017
201747,57,50,0.76,441,-2907.11,47,2017
201747,57,8,656892.77,22883,315632.8954,47,2017
201747,57,1,2672418.93,35530,997487.9519,47,2017
201747,57,36,134332.75,957,60120.0993,47,2017
201747,57,5,549828.86,21039,167227.8115,47,2017
201747,57,4,3233016.58,51272,1298270.412,47,2017
201747,57,2,3091063.13,76065,1167790.265,47,2017
201748,57,7,3202403.1,50000,1024366.222,48,2017
201748,57,5,454074.53,23908,79190.1828,48,2017
201748,57,4,3663489.12,78833,833448.2866,48,2017
201748,57,2,3198401.98,66135,918077.3333,48,2017
201748,57,50,0.05,1496,-8903.81,48,2017
201748,57,3,712761.24,42960,189728.918,48,2017
201748,57,8,399720.05,12682,169148.3764,48,2017
201749,57,7,2019699.98,32408,746805.4702,49,2017
